Rank,Name,Platform,Year,Genre,Publisher,Developer,Critic_Score,User_Score,NA_Sales,PAL_Sales,JP_Sales,Other_Sales,Global_Sales,card_image,full_image
94,Tony Hawk's,Series,1999,Sports,Activision  ,Neversoft  ,,,,,,,,https://www.vgchartz.com/games/boxart/full_5904326AmericaFrontccc.jpg,https://www.vgchartz.com/games/banners/3265252226307ccc.png
95,Tom Clancy's Splinter Cell,Series,2002,Action-Adventure,Ubisoft  ,Ubisoft  ,,,,,,,,https://www.vgchartz.com/games/boxart/full_9580557AmericaFrontccc.jpg,https://www.vgchartz.com/games/banners/1741595226090ccc.png
96,Age of Empires,Series,1997,Strategy,Microsoft  ,Ensemble Studios  ,,,,,,,,https://www.vgchartz.com/games/boxart/full_6456368AmericaFrontccc.jpg,https://www.vgchartz.com/games/banners/8248781226319ccc.png
97,New Super Mario Bros.,DS,2006,Platform,Nintendo  ,Nintendo EAD  ,9.1,8.1,11.28,9.19,6.5,2.89,29.85,https://www.vgchartz.com/games/boxart/full_2916260AmericaFrontccc.jpg,https://www.vgchartz.com/games/banners/new-super-mario-bros_banner10.png
98,New Super Mario Bros. Wii,Wii,2009,Platform,Nintendo  ,Nintendo EAD  ,8.6,9.2,14.53,7.01,4.7,2.27,28.51,https://www.vgchartz.com/games/boxart/full_1410872AmericaFrontccc.jpg,https://www.vgchartz.com/games/banners/new-super-mario-bros-wii_banner41.jpg
99,Tetris,GB,1989,Puzzle,Nintendo  ,Bullet Proof Software  ,,,23.2,2.26,4.22,0.58,30.26,https://www.vgchartz.com/games/boxart/3740960ccc.jpg,https://www.vgchartz.com/games/banners/tetris_banner43.jpg
100,Call of Duty: Modern Warfare,All,2019,Shooter,Activision  ,Infinity Ward  ,,,,,,,,https://www.vgchartz.com/games/boxart/full_2775420AmericaFrontccc.jpg,https://www.vgchartz.com/games/banners/7129376227883ccc.png
101,Command & Conquer,Series,1995,Strategy,Electronic Arts  ,Westwood Studios  ,,,,,,,,https://www.vgchartz.com/games/boxart/full_5898823AmericaFrontccc.jpg,https://www.vgchartz.com/games/banners/1289900226217ccc.png
102,Diablo III,All,2015,Role-Playing,Blizzard Entertainment  ,Blizzard Entertainment  ,,,,,,,,https://www.vgchartz.com/games/boxart/full_978121AmericaFrontccc.png,https://www.vgchartz.com/games/banners/5418546227682ccc.png
103,James Bond,Series,1983,Action-Adventure,Parker Bros.  ,Richard Shepherd Software  ,,,,,,,,https://www.vgchartz.com/games/boxart/full_1105403AmericaFrontccc.jpg,https://www.vgchartz.com/games/banners/8157361226297ccc.png
104,The Elder Scrolls V: Skyrim,All,2011,Role-Playing,Bethesda Softworks  ,Bethesda Game Studios  ,,,,,,,,https://www.vgchartz.com/games/boxart/full_5830479AmericaFrontccc.png,https://www.vgchartz.com/games/banners/2252162227648ccc.png
105,Wii Play,Series,2007,Party,Nintendo  ,Nintendo  ,,,,,,,,https://www.vgchartz.com/games/boxart/full_857142AmericaFrontccc.png,https://www.vgchartz.com/games/banners/48129226192ccc.png
106,Nintendogs,Series,2005,Simulation,Nintendo  ,Nintendo  ,,,,,,,,https://www.vgchartz.com/games/boxart/full_905745AmericaFrontccc.jpg,https://www.vgchartz.com/games/banners/305171226186ccc.png
107,Duck Hunt,NES,1985,Shooter,Nintendo  ,Nintendo R&D1  ,,,26.93,0.63,0.28,0.47,28.31,https://www.vgchartz.com/games/boxart/full_6570468AmericaFrontccc.jpg,https://www.vgchartz.com/games/banners/duck-hunt_banner67.jpg
